Name,Date,Net Income,Number of Shares,Total Assets,Shareholders Equity,Loans,Customer Deposits,Non-performing loans
AlRAJHI,3/31/2017,2220898.00,1625000000,337229672.00,51430593.00,229420893,271289706,2379993
AlRAJHI,6/30/2017,2181652.00,1625000000,345597227.00,53605493.00,232796743,285389825,1795839
AlRAJHI,9/30/2017,2265209.00,1625000000,338029856.00,53376391.00,233180894,270102216,1732206
AlRAJHI,12/31/2017,2452968.00,1625000000,343116528.00,55750918.00,233535573,273056445,1770179
AlRAJHI,3/31/2018,2382606.00,1625000000,349243305.00,50440218.00,229043499,283936380,1706526
AlRAJHI,6/30/2018,2568834.00,1625000000,348439181.00,52790511.00,228947070,280386624,1918122
AlRAJHI,9/30/2018,2573027.00,1625000000,356418592.00,51975056.00,234427071,288836370,2018663
AlRAJHI,12/31/2018,2772400.00,1625000000,365003830.00,48554018.00,234062789,293909125,2290312
AlRAJHI,3/31/2019,2596760.00,1625000000,363339801.00,51260014.00,236419173,293503818,2290718
AlRAJHI,6/30/2019,2580155.00,2500000000,369519568.00,50139702.00,238496224,300563170,2099910
AlRAJHI,9/30/2019,2829327.00,2500000000,368284183.00,49180839.00,244585965,298811018,2371420
AlRAJHI,12/31/2019,2152758.00,2500000000,384086576.00,51191657.00,249682805,312405823,2316793
AlRAJHI,3/31/2020,2380152.00,2500000000,391901369.00,49586742.00,261385345,315660893,2884489
AlRAJHI,6/30/2020,2436100.00,2500000000,417684207.00,51930026.00,274928261,334664830,2889942
AlRAJHI,9/30/2020,2657848.00,2500000000,430300392.00,54919002.00,289728720,345322278,2459809
NCB,3/31/2017,2702471.00,2000000000,448717278.00,54969652.00,254202491,313646400,4096095
NCB,6/30/2017,2417421.00,2000000000,449775773.00,52876134.00,256900749,314690004,4331678
NCB,9/30/2017,2125614.00,2000000000,444679260.00,54433118.00,256851955,302592647,4670207
NCB,12/31/2017,2556476.00,2000000000,443865867.00,56040549.00,249234246,308942120,4768992
NCB,3/31/2018,2986877.00,2000000000,437506289.00,56683671.00,252776847,309000832,4720900
NCB,6/30/2018,2166351.00,3000000000,454374068.00,57006760.00,266043128,317652668,4749871
NCB,9/30/2018,2453661.00,3000000000,459079568.00,55503866.00,268245445,325461108,5062222
NCB,12/31/2018,3060427.00,3000000000,453389897.00,57736917.00,265317391,318698791,5247377
NCB,3/31/2019,3164699.00,3000000000,466347602.00,60938851.00,268656789,309661054,4945285
NCB,6/30/2019,2685587.00,3000000000,478643294.00,60425108.00,276267211,327437090,5065354
NCB,9/30/2019,2540962.00,3000000000,498045248.00,66978621.00,280534754,340381715,5400706
NCB,12/31/2019,3010188.00,3000000000,507263802.00,68888025.00,282288760,353389315,5329396
NCB,3/31/2020,2834199.00,3000000000,535006597.00,57158717.00,305214202,375241280,5390495
NCB,6/30/2020,2087726.00,3000000000,557310034.00,62887544.00,316298571,380398487,5912363
NCB,9/30/2020,3190252.00,3000000000,577083806.00,75907590.00,336860229,408473717,5952417
RIBL,3/31/2017,1047360.00,3000000000,213670065.00,36169001.00,140915244,154187711,1151815
RIBL,6/30/2017,847920.00,3000000000,213670065.00,36169001.00,141180705,156979505,1536733
RIBL,9/30/2017,1076850.00,3000000000,213670065.00,36169001.00,142067876,156053333,1399055
RIBL,12/31/2017,973880.00,3000000000,213670065.00,36169001.00,138837618,154365549,1412157
RIBL,3/31/2018,916830.00,3000000000,213670065.00,36169001.00,141222247,151921098,1326466
RIBL,6/30/2018,842490.00,3000000000,215476278.00,36934946.00,144311749,153418142,1486945
RIBL,9/30/2018,945010.00,3000000000,225966187.00,36750538.00,145760318,159244917,1286178
RIBL,12/31/2018,387950.00,3000000000,229899576.00,36774216.00,151024830,169822156,1561437
RIBL,3/31/2019,1484790.00,3000000000,239517077.00,37645030.00,158241632,173491122,1791341
RIBL,6/30/2019,1499750.00,3000000000,246116148.00,39428043.00,161324535,176510280,1632742
RIBL,9/30/2019,1506350.00,3000000000,250572960.00,39241952.00,166275279,177672013,1433634
RIBL,12/31/2019,1111180.00,3000000000,265788878.00,40571462.00,173981999,194517899,1554134
RIBL,3/31/2020,1476434.00,3000000000,279696566.00,37797337.00,182783863,192901768,1879736
RIBL,6/30/2020,1063046.00,3000000000,295083362.00,40785938.00,187650666,199986608,1943328
RIBL,9/30/2020,1295975.00,3000000000,308557755.00,40785938.00,190823050,201292346,2930308
